Season,Date,Tmax,Tmin,MP1,MP2,RE1,RE2,WP2,WP3,Notes
Season 1,11/11/2017,15.6,7.3,0,0,0,0,1,1,
Season 1,12/11/2017,17,11.3,0,0,0,0,1,1,
Season 1,13/11/2017,15.4,10.3,0,0,0,0,1,1,
Season 1,14/11/2017,15,10.5,0,0,0,0,1,1,Nothing caught
Season 1,15/11/2017,16.1,7.1,0,0,0,0,1,1,
Season 1,16/11/2017,16.2,10.7,0,0,0,0,1,1,
Season 1,17/11/2017,19.2,13.5,0,0,0,0,1,1,Nothing caught
Season 1,18/11/2017,20.4,12.2,0,0,1,1,1,1,
Season 1,19/11/2017,15.8,12.2,0,0,1,1,1,1,
Season 1,20/11/2017,16.4,12.2,0,0,1,1,1,1,
Season 1,21/11/2017,17.1,12.2,0,0,1,1,0,0,
Season 1,22/11/2017,17.6,12.5,0,0,1,1,0,0,
Season 1,23/11/2017,17.2,10.6,1,0,1,1,0,0,
Season 1,24/11/2017,18.3,12.7,1,1,1,1,0,0,
Season 1,25/11/2017,22.4,14.6,1,1,0,1,0,0,"Visited RE1 to pull skinks out of pitfalls, but didn't record their data as getting too close to sunset"
Season 1,26/11/2017,18.2,13.8,1,1,1,0,0,0,Nothing caught
Season 1,27/11/2017,17.4,13.6,1,1,1,0,0,0,
Season 1,28/11/2017,19.6,13.9,1,1,0,0,0,0,
Season 1,29/11/2017,18.1,14.2,1,1,0,0,0,0,
Season 1,30/11/2017,19.1,15.1,1,1,0,0,0,0,
Season 1,1/12/2017,20.4,13.1,1,1,0,0,0,0,
Season 2,5/01/2018,27.2,16.8,0,0,0,0,1,1,
Season 2,6/01/2018,22.7,14.7,0,0,1,1,1,1,
Season 2,7/01/2018,17.7,13.3,0,0,1,1,1,1,
Season 2,8/01/2018,20,14.4,0,0,1,1,1,1,
Season 2,9/01/2018,24.9,18,0,0,1,1,1,1,
Season 2,10/01/2018,21.7,18.7,0,0,1,1,1,1,
Season 2,11/01/2018,21.2,14.8,0,0,1,1,1,1,
Season 2,12/01/2018,16.3,14.8,0,0,1,1,1,1,
Season 2,13/01/2018,20.7,15.2,0,0,0,0,1,1,"Visited RE1 and RE2 to pull skinks out of pifalls, but didn't record their data as getting too close to sunset"
Season 2,14/01/2018,26.1,17.1,0,0,1,1,0,0,
Season 2,29/01/2018,20.7,16.9,0,1,0,0,0,0,
Season 2,30/01/2018,28.2,19.8,0,1,0,0,0,0,Nothing caught
Season 2,31/01/2018,26.4,20.5,0,1,0,0,0,0,
Season 2,1/02/2018,24.5,21,0,1,0,0,0,0,
Season 2,2/02/2018,27,16.8,0,1,0,0,0,0,
Season 2,3/02/2018,18.6,13.7,1,1,0,0,0,0,
Season 2,4/02/2018,18.1,10.4,1,1,0,0,0,0,
Season 2,5/02/2018,21.3,13.9,1,1,0,0,0,0,
Season 2,6/02/2018,22.2,17.3,1,0,0,0,0,0,
Season 2,7/02/2018,21.1,13.8,1,0,0,0,0,0,
Season 2,8/02/2018,21.7,13.8,1,0,0,0,0,0,Nothing caught
Season 2,9/02/2018,21.7,13.3,1,0,0,0,0,0,Nothing caught
Season 2,10/02/2018,22.3,16.9,1,0,0,0,0,0,Nothing caught
Season 3,5/03/2018,24.8,18.7,0,1,0,0,0,0,
Season 3,6/03/2018,24.4,19.2,0,1,0,0,1,0,
Season 3,7/03/2018,21.6,14.2,0,1,0,0,1,0,
Season 3,8/03/2018,15.6,13.4,0,1,0,0,1,0,
Season 3,9/03/2018,17.1,14.4,0,1,0,0,1,0,Pits closed for weekend after checking today
Season 3,12/03/2018,18,12.4,0,0,0,0,1,0,WP2 re-opened
Season 3,13/03/2018,21.2,16,0,1,0,0,1,0,MP2 re-opened
Season 3,14/03/2018,23.7,12,0,1,0,0,1,0,
Season 3,15/03/2018,21.3,15.2,0,1,0,0,1,0,
Season 3,16/03/2018,20.8,17.6,0,1,0,0,1,0,
Season 3,17/03/2018,22.3,14.1,0,1,0,0,1,0,
Season 3,3/04/2018,20.1,16.8,1,0,1,0,0,1,
Season 3,4/04/2018,22.3,17,1,0,1,0,0,1,
Season 3,5/04/2018,20.3,13.4,1,0,1,0,0,1,Closed RE1 pitfalls today
Season 3,6/04/2018,19,15,1,0,0,0,0,1,Pitfalls closed down for a break
Season 3,9/04/2018,18.8,14.7,1,0,1,1,0,1,Pitfalls re-opened
Season 3,10/04/2018,16.3,8.8,1,0,1,1,0,1,
Season 3,11/04/2018,11.3,5.1,1,0,1,1,0,1,
Season 3,12/04/2018,12.3,6.7,1,0,1,1,0,1,
Season 3,13/04/2018,14.5,10.6,1,0,1,1,0,1,
Season 3,14/04/2018,14.5,9.8,1,0,1,1,0,0,
Season 3,15/04/2018,15.3,4.8,1,0,0,1,0,0,
Season 3,16/04/2018,18.1,11.9,1,0,0,1,0,0,
Season 4,13/11/2018,20.2,11.4,0,1,0,0,1,0,
Season 4,14/11/2018,18.4,11.9,0,1,0,0,1,0,
Season 4,15/11/2018,22.3,14.1,0,1,0,0,1,0,
Season 4,16/11/2018,20.5,14.7,0,1,0,0,1,0,Pitfalls closed down for a break
Season 4,20/11/2018,13.8,13.8,0,0,0,0,1,0,WP2 re-opened
Season 4,21/11/2018,15.8,15.8,0,1,0,0,1,0,MP2 re-opened
Season 4,22/11/2018,16.6,16.6,0,1,0,0,1,0,
Season 4,23/11/2018,16.5,16.5,0,1,0,0,1,0,Pitfalls closed down for a break
Season 4,27/11/2018,15.2,12.3,0,1,0,0,1,0,Pitfalls re-opened
Season 4,28/11/2018,15.7,12,0,1,0,0,1,1,
Season 4,29/11/2018,18.1,12.4,0,1,0,1,0,1,
Season 4,30/11/2018,16.8,11.9,0,0,0,1,0,1,Pitfalls closed down for a break
Season 4,4/12/2018,23.6,16,1,0,1,1,0,1,Pitfalls re-opened
Season 4,5/12/2018,19.8,12.9,1,0,1,1,0,1,
Season 4,6/12/2018,18.8,10.4,1,0,1,1,0,1,
Season 4,7/12/2018,15.7,10.7,1,0,1,1,0,1,Pitfalls closed down for a break
Season 4,11/12/2018,17.8,13,1,0,1,1,0,1,Pitfalls re-opened
Season 4,12/12/2018,20.1,15.7,1,0,1,1,0,1,
Season 4,13/12/2018,21.1,14.6,1,0,1,1,0,1,
Season 4,14/12/2018,20.5,15.4,1,0,1,1,0,1,
Season 4,15/12/2018,19.3,15.7,1,0,1,0,0,0,
Season 4,16/12/2018,19.8,15.4,1,0,1,0,0,0,MP1 pitfalls temporarily closed
Season 4,17/12/2018,19.5,14.7,0,0,1,0,0,0,
Season 4,20/12/2018,19.8,13,1,0,0,0,0,0,MP1 pitfalls re-opened
Season 4,21/12/2018,16.7,13.1,1,0,0,0,0,0,
Season 5,12/10/2019,16.9,10.7,0,0,0,0,1,0,
Season 5,13/10/2019,15.6,10.4,0,0,0,0,1,0,
Season 5,14/10/2019,13.5,8,0,0,0,0,1,0,
Season 5,15/10/2019,17,11.6,0,0,0,0,0,0,"Visited WP2 today, but forgot scissors so didn't record anything"
Season 5,16/10/2019,14.6,11.3,1,0,0,0,1,0,
Season 5,17/10/2019,14.2,8.8,1,0,0,0,1,0,
Season 5,18/10/2019,19.1,12.9,1,0,0,0,1,0,
Season 5,19/10/2019,14.9,12.6,1,0,0,0,1,0,
Season 5,20/10/2019,18.1,11.9,1,0,0,0,1,0,
Season 5,21/10/2019,16.1,13.3,1,0,0,0,0,0,Nothing caught
Season 5,22/10/2019,16.6,9.8,1,0,0,0,0,1,
Season 5,23/10/2019,16.7,6.8,1,0,0,0,0,1,
Season 5,24/10/2019,13.4,5.6,0,0,0,1,0,1,
Season 5,25/10/2019,18.5,6.5,0,0,0,1,0,1,Nothing caught
Season 5,26/10/2019,14.4,8.8,0,0,0,1,0,1,RE2 pits temporarily closed
Season 5,27/10/2019,17.9,12.4,0,0,0,0,0,1,Nothing caught
Season 5,28/10/2019,17.2,13.8,0,0,0,0,0,1,
Season 5,29/10/2019,18.3,12.1,0,1,1,1,0,0,RE2 pits re-opened
Season 5,30/10/2019,17.7,7.5,0,1,1,1,0,0,
Season 5,31/10/2019,16,9.9,0,1,1,1,0,0,
Season 5,1/11/2019,16.2,10.3,0,1,1,1,0,0,Nothing caught
Season 5,2/11/2019,14.5,10.6,0,1,1,1,0,0,
Season 5,3/11/2019,18.4,12.5,0,1,1,0,0,0,
Season 5,4/11/2019,20.7,13.9,0,1,1,0,0,0,
Season 5,5/11/2019,18.6,13.9,0,1,1,0,0,0,
Season 6,28/02/2020,23.5,18.7,1,1,1,1,1,1,
Season 6,29/02/2020,20.4,11.2,1,1,1,1,1,1,
Season 6,1/03/2020,20.8,14.7,1,1,1,1,1,1,
Season 6,2/03/2020,23.2,17.2,1,1,1,1,1,1,
Season 6,3/03/2020,22.8,15.3,1,1,1,1,1,1,
Season 6,4/03/2020,17.2,13.3,1,1,1,1,1,1,
Season 7,28/11/2020,16.1,11.5,1,1,1,1,1,1,
Season 7,29/11/2020,18.6,11.3,1,1,1,1,1,1,
Season 7,30/11/2020,16.9,11.7,1,1,1,1,1,1,
Season 7,1/12/2020,14.7,6.9,1,1,1,1,1,1,
Season 7,2/12/2020,18.7,12.9,1,1,1,1,1,1,
Season 8,23/03/2021,17.1,10.3,1,1,1,1,1,1,
Season 8,24/03/2021,18.1,13.7,1,1,1,1,1,1,
Season 8,25/03/2021,19.8,11.7,1,1,1,1,1,1,
Season 8,26/03/2021,22.5,15,1,1,1,1,1,1,
Season 8,27/03/2021,,,1,1,1,1,1,1,
