Site number,Trap number,ACO replaced,Pitfall replaced
MP1,A1,0,0
MP1,A2,0,0
MP1,A3,0,1
MP1,A4,0,0
MP1,A5,0,0
MP1,A6,0,0
MP1,B1,0,0
MP1,B2,0,0
MP1,B3,0,0
MP1,B4,0,0
MP1,B5,0,1
MP1,B6,0,0
MP1,C1,0,1
MP1,C2,0,1
MP1,C3,0,0
MP1,C4,0,0
MP1,C5,0,0
MP1,C6,0,1
MP1,D1,1,1
MP1,D2,0,0
MP1,D3,0,0
MP1,D4,0,0
MP1,D5,0,1
MP1,D6,0,1
MP1,E1,0,1
MP1,E2,0,1
MP1,E3,0,0
MP1,E4,0,1
MP1,E5,0,0
MP1,E6,0,0
MP1,F1,1,1
MP1,F2,1,1
MP1,F3,1,1
MP1,F4,0,1
MP1,F5,1,1
MP1,F6,1,1
MP2,A1,0,0
MP2,A2,0,0
MP2,A3,0,0
MP2,A4,0,0
MP2,A5,0,0
MP2,A6,0,0
MP2,B1,0,0
MP2,B2,0,0
MP2,B3,0,0
MP2,B4,0,0
MP2,B5,0,0
MP2,B6,0,0
MP2,C1,0,0
MP2,C2,0,0
MP2,C3,0,0
MP2,C4,0,0
MP2,C5,0,0
MP2,C6,0,0
MP2,D1,0,0
MP2,D2,0,0
MP2,D3,0,0
MP2,D4,0,0
MP2,D5,0,0
MP2,D6,0,0
MP2,E1,0,0
MP2,E2,0,0
MP2,E3,0,0
MP2,E4,0,0
MP2,E5,0,0
MP2,E6,0,0
MP2,F1,0,0
MP2,F2,0,0
MP2,F3,0,0
MP2,F4,0,0
MP2,F5,0,0
MP2,F6,0,0
WP2,A1,1,1
WP2,A2,0,0
WP2,A3,0,0
WP2,A4,0,0
WP2,A5,0,0
WP2,A6,0,0
WP2,B1,0,0
WP2,B2,0,0
WP2,B3,0,0
WP2,B4,0,0
WP2,B5,0,0
WP2,B6,0,0
WP2,C1,0,0
WP2,C2,0,0
WP2,C3,0,0
WP2,C4,0,0
WP2,C5,0,0
WP2,C6,0,0
WP2,D1,0,0
WP2,D2,0,0
WP2,D3,0,0
WP2,D4,0,0
WP2,D5,0,0
WP2,D6,0,0
WP2,E1,0,0
WP2,E2,0,0
WP2,E3,0,0
WP2,E4,0,0
WP2,E5,0,0
WP2,E6,0,0
WP2,F1,0,0
WP2,F2,0,0
WP2,F3,0,0
WP2,F4,0,0
WP2,F5,0,0
WP2,F6,0,0
WP3,A1,1,1
WP3,A2,1,1
WP3,A3,0,0
WP3,A4,0,0
WP3,A5,1,1
WP3,A6,1,1
WP3,B1,1,1
WP3,B2,0,0
WP3,B3,1,1
WP3,B4,1,1
WP3,B5,1,1
WP3,B6,0,1
WP3,C1,1,1
WP3,C2,0,0
WP3,C3,0,0
WP3,C4,0,0
WP3,C5,0,0
WP3,C6,0,0
WP3,D1,0,0
WP3,D2,0,0
WP3,D3,0,0
WP3,D4,0,0
WP3,D5,0,0
WP3,D6,0,0
WP3,E1,0,0
WP3,E2,0,0
WP3,E3,0,0
WP3,E4,0,0
WP3,E5,0,0
WP3,E6,0,0
WP3,F1,0,0
WP3,F2,0,0
WP3,F3,0,0
WP3,F4,0,0
WP3,F5,0,0
WP3,F6,0,0