"","Grid","Species","Season","n","date","Nsessions","Start_date","End_date","Date","n/Nsessions","Site","Inundated","Labels"
"1","RE1","oa",1,19,"5/12/2017",9,"11/11/2017","30/12/2017",2017-12-05,2.11111111111111,"RE","Not affected","RE1: Not affected"
"2","RE1","oa",2,2,"23/01/2018",8,"5/01/2018","10/02/2018",2018-01-23,0.25,"RE","Not affected","RE1: Not affected"
"3","RE1","oa",3,1,"27/03/2018",9,"5/03/2018","19/04/2018",2018-03-27,0.111111111111111,"RE","Not affected","RE1: Not affected"
"4","RE1","oa",4,16,"7/12/2018",11,"13/11/2018","1/01/2019",2018-12-07,1.45454545454545,"RE","Not affected","RE1: Not affected"
"5","RE1","oa",5,12,"25/10/2019",8,"12/10/2019","8/11/2019",2019-10-25,1.5,"RE","Not affected","RE1: Not affected"
"6","RE1","oa",6,9,"2/03/2020",6,"29/02/2020","5/03/2020",2020-03-02,1.5,"RE","Not affected","RE1: Not affected"
"7","RE1","oa",7,9,"1/12/2020",5,"29/11/2020","3/12/2020",2020-12-01,1.8,"RE","Not affected","RE1: Not affected"
"8","RE1","oa",8,7,"25/03/2021",5,"23/03/2021","27/03/2021",2021-03-25,1.4,"RE","Not affected","RE1: Not affected"
"9","RE2","oa",1,18,"5/12/2017",8,"11/11/2017","30/12/2017",2017-12-05,2.25,"RE","Not affected","RE2: Not affected"
"10","RE2","oa",2,7,"23/01/2018",8,"5/01/2018","10/02/2018",2018-01-23,0.875,"RE","Not affected","RE2: Not affected"
"11","RE2","oa",3,5,"27/03/2018",8,"5/03/2018","19/04/2018",2018-03-27,0.625,"RE","Not affected","RE2: Not affected"
"12","RE2","oa",4,22,"7/12/2018",10,"13/11/2018","1/01/2019",2018-12-07,2.2,"RE","Not affected","RE2: Not affected"
"13","RE2","oa",5,17,"25/10/2019",8,"12/10/2019","8/11/2019",2019-10-25,2.125,"RE","Not affected","RE2: Not affected"
"14","RE2","oa",6,12,"2/03/2020",6,"29/02/2020","5/03/2020",2020-03-02,2,"RE","Not affected","RE2: Not affected"
"15","RE2","oa",7,14,"1/12/2020",5,"29/11/2020","3/12/2020",2020-12-01,2.8,"RE","Not affected","RE2: Not affected"
"16","RE2","oa",8,11,"25/03/2021",5,"23/03/2021","27/03/2021",2021-03-25,2.2,"RE","Not affected","RE2: Not affected"
"17","MP1","op",1,4,"5/12/2017",11,"11/11/2017","30/12/2017",2017-12-05,0.363636363636364,"MP","Inundated","MP1: Inundated"
"18","MP1","op",2,3,"23/01/2018",8,"5/01/2018","10/02/2018",2018-01-23,0.375,"MP","Inundated","MP1: Inundated"
"19","MP1","op",3,3,"27/03/2018",12,"5/03/2018","19/04/2018",2018-03-27,0.25,"MP","Inundated","MP1: Inundated"
"20","MP1","op",4,3,"7/12/2018",12,"13/11/2018","1/01/2019",2018-12-07,0.25,"MP","Inundated","MP1: Inundated"
"21","MP1","op",5,5,"25/10/2019",8,"12/10/2019","8/11/2019",2019-10-25,0.625,"MP","Inundated","MP1: Inundated"
"22","MP1","op",6,5,"2/03/2020",6,"29/02/2020","5/03/2020",2020-03-02,0.833333333333333,"MP","Inundated","MP1: Inundated"
"23","MP1","op",7,4,"1/12/2020",5,"29/11/2020","3/12/2020",2020-12-01,0.8,"MP","Inundated","MP1: Inundated"
"24","MP1","op",8,5,"25/03/2021",5,"23/03/2021","27/03/2021",2021-03-25,1,"MP","Inundated","MP1: Inundated"
"25","MP2","op",1,18,"5/12/2017",10,"11/11/2017","30/12/2017",2017-12-05,1.8,"MP","Not affected","MP2: Not affected"
"26","MP2","op",2,12,"23/01/2018",9,"5/01/2018","10/02/2018",2018-01-23,1.33333333333333,"MP","Not affected","MP2: Not affected"
"27","MP2","op",3,7,"27/03/2018",10,"5/03/2018","19/04/2018",2018-03-27,0.7,"MP","Not affected","MP2: Not affected"
"28","MP2","op",4,7,"7/12/2018",10,"13/11/2018","1/01/2019",2018-12-07,0.7,"MP","Not affected","MP2: Not affected"
"29","MP2","op",5,15,"25/10/2019",8,"12/10/2019","8/11/2019",2019-10-25,1.875,"MP","Not affected","MP2: Not affected"
"30","MP2","op",6,9,"2/03/2020",6,"29/02/2020","5/03/2020",2020-03-02,1.5,"MP","Not affected","MP2: Not affected"
"31","MP2","op",7,12,"1/12/2020",5,"29/11/2020","3/12/2020",2020-12-01,2.4,"MP","Not affected","MP2: Not affected"
"32","MP2","op",8,20,"25/03/2021",5,"23/03/2021","27/03/2021",2021-03-25,4,"MP","Not affected","MP2: Not affected"
"33","RE1","op",1,25,"5/12/2017",9,"11/11/2017","30/12/2017",2017-12-05,2.77777777777778,"RE","Not affected","RE1: Not affected"
"34","RE1","op",2,15,"23/01/2018",8,"5/01/2018","10/02/2018",2018-01-23,1.875,"RE","Not affected","RE1: Not affected"
"35","RE1","op",3,8,"27/03/2018",9,"5/03/2018","19/04/2018",2018-03-27,0.888888888888889,"RE","Not affected","RE1: Not affected"
"36","RE1","op",4,29,"7/12/2018",11,"13/11/2018","1/01/2019",2018-12-07,2.63636363636364,"RE","Not affected","RE1: Not affected"
"37","RE1","op",5,18,"25/10/2019",8,"12/10/2019","8/11/2019",2019-10-25,2.25,"RE","Not affected","RE1: Not affected"
"38","RE1","op",6,9,"2/03/2020",6,"29/02/2020","5/03/2020",2020-03-02,1.5,"RE","Not affected","RE1: Not affected"
"39","RE1","op",7,23,"1/12/2020",5,"29/11/2020","3/12/2020",2020-12-01,4.6,"RE","Not affected","RE1: Not affected"
"40","RE1","op",8,27,"25/03/2021",5,"23/03/2021","27/03/2021",2021-03-25,5.4,"RE","Not affected","RE1: Not affected"
"41","RE2","op",1,33,"5/12/2017",8,"11/11/2017","30/12/2017",2017-12-05,4.125,"RE","Not affected","RE2: Not affected"
"42","RE2","op",2,17,"23/01/2018",8,"5/01/2018","10/02/2018",2018-01-23,2.125,"RE","Not affected","RE2: Not affected"
"43","RE2","op",3,42,"27/03/2018",8,"5/03/2018","19/04/2018",2018-03-27,5.25,"RE","Not affected","RE2: Not affected"
"44","RE2","op",4,18,"7/12/2018",10,"13/11/2018","1/01/2019",2018-12-07,1.8,"RE","Not affected","RE2: Not affected"
"45","RE2","op",5,25,"25/10/2019",8,"12/10/2019","8/11/2019",2019-10-25,3.125,"RE","Not affected","RE2: Not affected"
"46","RE2","op",6,6,"2/03/2020",6,"29/02/2020","5/03/2020",2020-03-02,1,"RE","Not affected","RE2: Not affected"
"47","RE2","op",7,6,"1/12/2020",5,"29/11/2020","3/12/2020",2020-12-01,1.2,"RE","Not affected","RE2: Not affected"
"48","RE2","op",8,9,"25/03/2021",5,"23/03/2021","27/03/2021",2021-03-25,1.8,"RE","Not affected","RE2: Not affected"
"49","WP2","op",1,12,"5/12/2017",8,"11/11/2017","30/12/2017",2017-12-05,1.5,"WP","Not affected","WP2: Not affected"
"50","WP2","op",2,6,"23/01/2018",8,"5/01/2018","10/02/2018",2018-01-23,0.75,"WP","Not affected","WP2: Not affected"
"51","WP2","op",3,5,"27/03/2018",10,"5/03/2018","19/04/2018",2018-03-27,0.5,"WP","Not affected","WP2: Not affected"
"52","WP2","op",4,16,"7/12/2018",10,"13/11/2018","1/01/2019",2018-12-07,1.6,"WP","Not affected","WP2: Not affected"
"53","WP2","op",5,21,"25/10/2019",8,"12/10/2019","8/11/2019",2019-10-25,2.625,"WP","Not affected","WP2: Not affected"
"54","WP2","op",6,1,"2/03/2020",6,"29/02/2020","5/03/2020",2020-03-02,0.166666666666667,"WP","Not affected","WP2: Not affected"
"55","WP2","op",7,9,"1/12/2020",5,"29/11/2020","3/12/2020",2020-12-01,1.8,"WP","Not affected","WP2: Not affected"
"56","WP2","op",8,27,"25/03/2021",5,"23/03/2021","27/03/2021",2021-03-25,5.4,"WP","Not affected","WP2: Not affected"
"57","WP3","op",1,4,"5/12/2017",10,"11/11/2017","30/12/2017",2017-12-05,0.4,"WP","Inundated","WP3: Inundated"
"58","WP3","op",2,2,"23/01/2018",9,"5/01/2018","10/02/2018",2018-01-23,0.222222222222222,"WP","Inundated","WP3: Inundated"
"59","WP3","op",3,2,"27/03/2018",10,"5/03/2018","19/04/2018",2018-03-27,0.2,"WP","Inundated","WP3: Inundated"
"60","WP3","op",4,7,"7/12/2018",10,"13/11/2018","1/01/2019",2018-12-07,0.7,"WP","Inundated","WP3: Inundated"
"61","WP3","op",5,13,"25/10/2019",8,"12/10/2019","8/11/2019",2019-10-25,1.625,"WP","Inundated","WP3: Inundated"
"62","WP3","op",6,7,"2/03/2020",6,"29/02/2020","5/03/2020",2020-03-02,1.16666666666667,"WP","Inundated","WP3: Inundated"
"63","WP3","op",7,2,"1/12/2020",5,"29/11/2020","3/12/2020",2020-12-01,0.4,"WP","Inundated","WP3: Inundated"
"64","WP3","op",8,8,"25/03/2021",5,"23/03/2021","27/03/2021",2021-03-25,1.6,"WP","Inundated","WP3: Inundated"
"65","MP1","wm",1,0,"5/12/2017",11,"11/11/2017","30/12/2017",2017-12-05,0,"MP","Inundated","MP1: Inundated"
"66","MP1","wm",2,0,"23/01/2018",8,"5/01/2018","10/02/2018",2018-01-23,0,"MP","Inundated","MP1: Inundated"
"67","MP1","wm",3,4,"27/03/2018",12,"5/03/2018","19/04/2018",2018-03-27,0.333333333333333,"MP","Inundated","MP1: Inundated"
"68","MP1","wm",4,2,"7/12/2018",12,"13/11/2018","1/01/2019",2018-12-07,0.166666666666667,"MP","Inundated","MP1: Inundated"
"69","MP1","wm",5,5,"25/10/2019",8,"12/10/2019","8/11/2019",2019-10-25,0.625,"MP","Inundated","MP1: Inundated"
"70","MP1","wm",6,10,"2/03/2020",6,"29/02/2020","5/03/2020",2020-03-02,1.66666666666667,"MP","Inundated","MP1: Inundated"
"71","MP1","wm",7,7,"1/12/2020",5,"29/11/2020","3/12/2020",2020-12-01,1.4,"MP","Inundated","MP1: Inundated"
"72","MP1","wm",8,12,"25/03/2021",5,"23/03/2021","27/03/2021",2021-03-25,2.4,"MP","Inundated","MP1: Inundated"
"73","MP2","wm",1,0,"5/12/2017",10,"11/11/2017","30/12/2017",2017-12-05,0,"MP","Not affected","MP2: Not affected"
"74","MP2","wm",2,4,"23/01/2018",9,"5/01/2018","10/02/2018",2018-01-23,0.444444444444444,"MP","Not affected","MP2: Not affected"
"75","MP2","wm",3,8,"27/03/2018",10,"5/03/2018","19/04/2018",2018-03-27,0.8,"MP","Not affected","MP2: Not affected"
"76","MP2","wm",4,6,"7/12/2018",10,"13/11/2018","1/01/2019",2018-12-07,0.6,"MP","Not affected","MP2: Not affected"
"77","MP2","wm",5,12,"25/10/2019",8,"12/10/2019","8/11/2019",2019-10-25,1.5,"MP","Not affected","MP2: Not affected"
"78","MP2","wm",6,24,"2/03/2020",6,"29/02/2020","5/03/2020",2020-03-02,4,"MP","Not affected","MP2: Not affected"
"79","MP2","wm",7,31,"1/12/2020",5,"29/11/2020","3/12/2020",2020-12-01,6.2,"MP","Not affected","MP2: Not affected"
"80","MP2","wm",8,20,"25/03/2021",5,"23/03/2021","27/03/2021",2021-03-25,4,"MP","Not affected","MP2: Not affected"
"81","RE1","wm",1,0,"5/12/2017",9,"11/11/2017","30/12/2017",2017-12-05,0,"RE","Not affected","RE1: Not affected"
"82","RE1","wm",2,0,"23/01/2018",8,"5/01/2018","10/02/2018",2018-01-23,0,"RE","Not affected","RE1: Not affected"
"83","RE1","wm",3,0,"27/03/2018",9,"5/03/2018","19/04/2018",2018-03-27,0,"RE","Not affected","RE1: Not affected"
"84","RE1","wm",4,0,"7/12/2018",11,"13/11/2018","1/01/2019",2018-12-07,0,"RE","Not affected","RE1: Not affected"
"85","RE1","wm",5,0,"25/10/2019",8,"12/10/2019","8/11/2019",2019-10-25,0,"RE","Not affected","RE1: Not affected"
"86","RE1","wm",6,2,"2/03/2020",6,"29/02/2020","5/03/2020",2020-03-02,0.333333333333333,"RE","Not affected","RE1: Not affected"
"87","RE1","wm",7,3,"1/12/2020",5,"29/11/2020","3/12/2020",2020-12-01,0.6,"RE","Not affected","RE1: Not affected"
"88","RE1","wm",8,4,"25/03/2021",5,"23/03/2021","27/03/2021",2021-03-25,0.8,"RE","Not affected","RE1: Not affected"
"89","RE2","wm",1,0,"5/12/2017",8,"11/11/2017","30/12/2017",2017-12-05,0,"RE","Not affected","RE2: Not affected"
"90","RE2","wm",2,1,"23/01/2018",8,"5/01/2018","10/02/2018",2018-01-23,0.125,"RE","Not affected","RE2: Not affected"
"91","RE2","wm",3,1,"27/03/2018",8,"5/03/2018","19/04/2018",2018-03-27,0.125,"RE","Not affected","RE2: Not affected"
"92","RE2","wm",4,2,"7/12/2018",10,"13/11/2018","1/01/2019",2018-12-07,0.2,"RE","Not affected","RE2: Not affected"
"93","RE2","wm",5,2,"25/10/2019",8,"12/10/2019","8/11/2019",2019-10-25,0.25,"RE","Not affected","RE2: Not affected"
"94","RE2","wm",6,2,"2/03/2020",6,"29/02/2020","5/03/2020",2020-03-02,0.333333333333333,"RE","Not affected","RE2: Not affected"
"95","RE2","wm",7,0,"1/12/2020",5,"29/11/2020","3/12/2020",2020-12-01,0,"RE","Not affected","RE2: Not affected"
"96","RE2","wm",8,4,"25/03/2021",5,"23/03/2021","27/03/2021",2021-03-25,0.8,"RE","Not affected","RE2: Not affected"
"97","WP2","wm",1,18,"5/12/2017",8,"11/11/2017","30/12/2017",2017-12-05,2.25,"WP","Not affected","WP2: Not affected"
"98","WP2","wm",2,14,"23/01/2018",8,"5/01/2018","10/02/2018",2018-01-23,1.75,"WP","Not affected","WP2: Not affected"
"99","WP2","wm",3,20,"27/03/2018",10,"5/03/2018","19/04/2018",2018-03-27,2,"WP","Not affected","WP2: Not affected"
"100","WP2","wm",4,29,"7/12/2018",10,"13/11/2018","1/01/2019",2018-12-07,2.9,"WP","Not affected","WP2: Not affected"
"101","WP2","wm",5,23,"25/10/2019",8,"12/10/2019","8/11/2019",2019-10-25,2.875,"WP","Not affected","WP2: Not affected"
"102","WP2","wm",6,12,"2/03/2020",6,"29/02/2020","5/03/2020",2020-03-02,2,"WP","Not affected","WP2: Not affected"
"103","WP2","wm",7,15,"1/12/2020",5,"29/11/2020","3/12/2020",2020-12-01,3,"WP","Not affected","WP2: Not affected"
"104","WP2","wm",8,21,"25/03/2021",5,"23/03/2021","27/03/2021",2021-03-25,4.2,"WP","Not affected","WP2: Not affected"
"105","WP3","wm",1,1,"5/12/2017",10,"11/11/2017","30/12/2017",2017-12-05,0.1,"WP","Inundated","WP3: Inundated"
"106","WP3","wm",2,1,"23/01/2018",9,"5/01/2018","10/02/2018",2018-01-23,0.111111111111111,"WP","Inundated","WP3: Inundated"
"107","WP3","wm",3,5,"27/03/2018",10,"5/03/2018","19/04/2018",2018-03-27,0.5,"WP","Inundated","WP3: Inundated"
"108","WP3","wm",4,27,"7/12/2018",10,"13/11/2018","1/01/2019",2018-12-07,2.7,"WP","Inundated","WP3: Inundated"
"109","WP3","wm",5,16,"25/10/2019",8,"12/10/2019","8/11/2019",2019-10-25,2,"WP","Inundated","WP3: Inundated"
"110","WP3","wm",6,27,"2/03/2020",6,"29/02/2020","5/03/2020",2020-03-02,4.5,"WP","Inundated","WP3: Inundated"
"111","WP3","wm",7,14,"1/12/2020",5,"29/11/2020","3/12/2020",2020-12-01,2.8,"WP","Inundated","WP3: Inundated"
"112","WP3","wm",8,21,"25/03/2021",5,"23/03/2021","27/03/2021",2021-03-25,4.2,"WP","Inundated","WP3: Inundated"
